Subject,L2 Regularization,Latent Factors,Key,Accuracy,Precision,Recall,F1 Score,Model Loss,Classification
01,0.0001,7,x_filter,0.5666666666666667,0.6412213740458015,0.7304347826086957,0.6829268292682926,2.1105048656463623,
01,0.0001,15,x_filter,0.6444444444444445,0.6758620689655173,0.8521739130434782,0.7538461538461537,1.7612481117248535,
01,0.0001,30,a_pred,0.6555555555555556,0.6827586206896552,0.8608695652173913,0.7615384615384615,1.454702377319336,
01,0.001,7,x_filter,0.5611111111111111,0.6428571428571429,0.7043478260869566,0.6721991701244814,2.115682601928711,
01,0.001,15,a_smooth,0.6277777777777778,0.6935483870967742,0.7478260869565218,0.7196652719665273,1.7650179862976074,
01,0.001,30,x_pred,0.65,0.678082192,0.8608695652173913,0.7586206896551724,1.520198106765747,
01,0.002,3,x_filter,0.5222222222222223,0.6330275229357798,0.6,0.6160714285714285,2.3792948722839355,
02,0.0001,7,x_pred,0.6542553191489362,0.6730769230769231,0.693069307,0.6829268292682926,9.353716850280762,
02,0.0001,15,x_pred,0.6808510638297872,0.6952380952380952,0.7227722772277227,0.7087378640776698,8.321758270263672,
02,0.0001,30,a_smooth,0.6968085106382979,0.6964285714285714,0.7722772277227723,0.7323943661971831,7.324324131011963,
02,0.001,7,x_pred,0.6648936170212766,0.6759259259259259,0.7227722772277227,0.6985645933014355,9.378163338,
02,0.001,15,x_pred,0.6648936170212766,0.6792452830188679,0.7128712871287128,0.6956521739130435,8.295162200927734,
02,0.001,30,a_smooth,0.6595744680851063,0.6528925619834711,0.7821782178217822,0.7117117117117117,7.348598480224609,
02,0.002,3,a_pred,0.6223404255319149,0.6339285714285714,0.7029702970297029,0.6666666666666666,9.800871849060059,
02,,,,0.674,,,,,LDS
02,,,,0.68,,,,,RF
02,,,,0.82,,,,,TCN
03,0.0001,7,a_hat,0.4745762711864407,0.5280898876404494,0.47959183673469385,0.5026737967914437,2.4394662380218506,
03,0.0001,15,x_smooth,0.480225989,0.53,0.5408163265306123,0.5353535353535354,2.2218997478485107,
03,0.0001,30,x_pred,0.4406779661016949,0.49523809523809526,0.5306122448979592,0.5123152709359605,2.0993292331695557,
03,0.001,7,a_pred,0.4745762711864407,0.5268817204301075,0.5,0.5130890052356021,2.467590808868408,
03,0.001,15,a_pred,0.4745762711864407,0.5252525252525253,0.5306122448979592,0.5279187817258884,2.273473024368286,
03,0.001,30,x_filter,0.4463276836158192,0.5,0.5306122448979592,0.5148514851485149,2.107116937637329,
03,0.002,3,a_hat,0.4745762711864407,0.5280898876404494,0.47959183673469385,0.5026737967914437,2.744504451751709,
03,,,,0.632,,,,,LDS
03,,,,0.84,,,,,RF
03,,,,0.73,,,,,TCN
04,0.0001,7,x_filter,0.4845360824742268,0.44871794871794873,0.3804347826086957,0.4117647058823529,3.331254720687866,
04,0.0001,15,x_filter,0.5257731958762887,,0,,3.025357723236084,
04,0.0001,30,x_filter,0.4845360824742268,0.44871794871794873,0.3804347826086957,0.4117647058823529,2.717573642730713,
04,0.001,7,x_filter,0.4742268041237113,0.43902439024390244,0.391304348,0.4137931034482759,3.3510994911193848,
04,0.001,15,x_filter,0.5257731958762887,,0,,3.0349607467651367,
04,0.001,30,a_smooth,0.5103092783505154,0.48148148148148145,0.42391304347826086,0.45086705202312133,2.7879769802093506,
04,0.002,3,a_smooth,0.5257731958762887,0.5,0.4891304347826087,0.4945054945054945,3.546156406402588,
04,,,,0.567,,,,,LDS
04,,,,0.72,,,,,RF
04,,,,0.85,,,,,TCN
05,0.0001,7,x_filter,0.5795454545454546,0.7477477477477478,0.6434108527131783,0.6916666666666667,3.4968955516815186,
05,0.0001,15,x_filter,0.6079545454545454,0.7830188679245284,0.6434108527131783,0.7063829787234043,3.438911199569702,
